S NO.,BATCH,DAY,SESSION,BRANCHES,ROOM,COURSE,FACULTY
1,V-SU-B1,MON,FN,CSE (107),5102,CP,XYZ
2,V-SU-B1,TUE,FN,CSE (107),5102,DBMS,XYZ
3,V-SU-B1,WED,FN,CSE (107),5102,JFS,XYZ
4,V-SU-B1,THU,AN,CSE (107),5102,CP,XYZ
5,V-SU-B1,FRI,AN,CSE (107),5102,AWS,XYZ
6,V-SU-B1,SAT,AN,CSE (107),5102,JFS,XYZ
7,V-SU-B2,MON ,FN,AI&ML (72) + IT (35),5106,AWS,XYZ
8,V-SU-B2,TUE,FN,AI&ML (72) + IT (35),5106,JFS,XYZ
9,V-SU-B2,WED,FN,AI&ML (72) + IT (35),5106,CP,XYZ
10,V-SU-B2,THU,AN,AI&ML (72) + IT (35),5106,DBMS,XYZ
11,V-SU-B2,FRI,AN,AI&ML (72) + IT (35),5106,JFS,XYZ
12,V-SU-B2,SAT,AN,AI&ML (72) + IT (35),5106,CP,XYZ
13,V-SU-B3,MON,AN,CS (31) + DS (31) + ECE (13),5104,DBMS,XYZ
14,V-SU-B3,TUE,AN,CS (31) + DS (31) + ECE (13),5104,AWS,XYZ
15,V-SU-B3,WED,AN,CS (31) + DS (31) + ECE (13),5104,CP,XYZ
16,V-SU-B3,THU,FN,CS (31) + DS (31) + ECE (13),5104,JFS,XYZ
17,V-SU-B3,FRI,FN,CS (31) + DS (31) + ECE (13),5104,CP,XYZ
18,V-SU-B3,SAT,FN,CS (31) + DS (31) + ECE (13),5104,JFS,XYZ
19,V-SN-B1,MON,FN,CSE (89),5204,CP,CVR
20,V-SN-B1,TUE,FN,CSE (89),5204,DBMS,PVN
21,V-SN-B1,WED,FN,CSE (89),5204,JFS,KMY
22,V-SN-B1,THU,AN,CSE (89),5204,CP,CVR
23,V-SN-B1,FRI,AN,CSE (89),5204,CP,CVR
24,V-SN-B1,SAT,AN,CSE (89),5204,JFS,KMY
25,V-SN-B2,MON,FN,AI&ML (55) + IT (38),5104,JFS,XYZ
26,V-SN-B2,TUE,FN,AI&ML (55) + IT (38),5104,CP,XYZ
27,V-SN-B2,WED,FN,AI&ML (55) + IT (38),5104,CP,XYZ
28,V-SN-B2,THU,AN,AI&ML (55) + IT (38),5104,JFS,XYZ
29,V-SN-B2,FRI,AN,AI&ML (55) + IT (38),5104,DBMS,XYZ
30,V-SN-B2,SAT,AN,AI&ML (55) + IT (38),5104,CP,XYZ
31,V-SN-B3,"MON, ",AN,CS (29) + DS (41) + ECE (45) + ME (1),5102,CP,XYZ
32,V-SN-B3,TUE,AN,CS (29) + DS (41) + ECE (45) + ME (1),5102,JFS,XYZ
33,V-SN-B3,WED,AN,CS (29) + DS (41) + ECE (45) + ME (1),5102,DBMS,XYZ
34,V-SN-B3,THU,FN,CS (29) + DS (41) + ECE (45) + ME (1),5102,CP,XYZ
35,V-SN-B3,FRI,FN,CS (29) + DS (41) + ECE (45) + ME (1),5102,JFS,XYZ
36,V-SN-B3,SAT,FN,CS (29) + DS (41) + ECE (45) + ME (1),5102,CP,XYZ
37,V-SB-B1,MON,FN,CSE (109),5101,CP,XYZ
38,V-SB-B1,TUE,FN,CSE (109),5101,JFS,XYZ
39,V-SB-B1,WED,FN,CSE (109),5101,CP,XYZ
40,V-SB-B1,THU,AN,CSE (109),5101,CP,XYZ
41,V-SB-B1,FRI,AN,CSE (109),5101,JFS,XYZ
42,V-SB-B1,SAT,AN,CSE (109),5101,DBMS,XYZ
43,V-SB-B2,MON,FN,CSE (38) + IT (76),5005,DBMS,XYZ
44,V-SB-B2,TUE,FN,CSE (38) + IT (76),5005,CP,XYZ
45,V-SB-B2,WED,FN,CSE (38) + IT (76),5005,JFS,XYZ
46,V-SB-B2,THU,AN,CSE (38) + IT (76),5005,CP,XYZ
47,V-SB-B2,FRI,AN,CSE (38) + IT (76),5005,CP,XYZ
48,V-SB-B2,SAT,AN,CSE (38) + IT (76),5005,JFS,XYZ
49,V-SB-B3,"MON, ",FN,AIML (88),5201,JFS,XYZ
50,V-SB-B3,TUE,FN,AIML (88),5201,CP,XYZ
51,V-SB-B3,WED,FN,AIML (88),5201,CP,XYZ
52,V-SB-B3,THU,AN,AIML (88),5201,JFS,XYZ
53,V-SB-B3,FRI,AN,AIML (88),5201,DBMS,XYZ
54,V-SB-B3,SAT,AN,AIML (88),5201,CP,XYZ
55,V-SB-B4,MON,AN,DS (84) + EEE (10) + ECE (23),5101,JFS,XYZ
56,V-SB-B4,TUE,AN,DS (84) + EEE (10) + ECE (23),5101,CP,XYZ
57,V-SB-B4,WED,AN,DS (84) + EEE (10) + ECE (23),5101,CP,XYZ
58,V-SB-B4,THU,FN,DS (84) + EEE (10) + ECE (23),5101,JFS,XYZ
59,V-SB-B4,FRI,FN,DS (84) + EEE (10) + ECE (23),5101,CP,XYZ
60,V-SB-B4,SAT,FN,DS (84) + EEE (10) + ECE (23),5101,DBMS,XYZ
61,V-SB-B5,MON ,AN,CS (69) + ECE (36),5106,CP,XYZ
62,V-SB-B5,TUE,AN,CS (69) + ECE (36),5106,CP,XYZ
63,V-SB-B5,WED,AN,CS (69) + ECE (36),5106,JFS,XYZ
64,V-SB-B5,THU,FN,CS (69) + ECE (36),5106,CP,XYZ
65,V-SB-B5,FRI,FN,CS (69) + ECE (36),5106,DBMS,XYZ
66,V-SB-B5,SAT,FN,CS (69) + ECE (36),5106,JFS,XYZ
